ID;SALDEB;SEX;ANC;AGE;SALACT;NIVED;EXP;CATEG
777;9492;0;78;38.92;15480;15;14.67;5
778;18000;0;66;34.25;34500;18;4.17;7
779;31992;0;96;49.58;54000;19;16.58;7
782;6300;0;82;29.75;12060;15;6;1
783;11100;0;82;44.42;13848;16;12.42;1
785;6300;0;68;28.67;12120;15;4.58;2
786;6300;0;82;29.5;32000;15;2.83;2
787;6000;0;81;30.67;10620;15;4.33;2
791;6300;0;69;63.58;12000;12;29;3
797;13200;0;68;29.5;24500;19;0.75;5
801;6000;0;67;26.25;15120;15;3;1
802;6000;0;97;29.5;16320;12;2;1
806;7800;0;68;31.25;14400;19;1.75;1
808;18996;0;86;42.42;26400;16;12.5;5
812;6300;0;67;28.75;12480;15;3.83;2
816;6000;0;71;26.83;11220;14;1.25;2
821;6600;0;79;30.33;11100;15;4.58;2
822;5820;0;93;29.17;8760;8;3.42;1
827;6000;0;66;29.25;12300;12;4.67;1
829;6300;0;66;27.42;13416;12;3.92;2
830;6600;0;83;31;15840;15;3.92;1
836;6000;0;83;29.08;11640;12;4.17;1
837;12000;0;93;31.67;31250;19;0.58;4
838;12000;0;89;35.58;23750;20;0.5;5
842;6840;0;92;31.17;10380;15;3.5;1
843;6300;0;92;32.5;12660;15;5.33;2
844;6600;0;64;31.92;13560;12;8.83;2
850;6600;0;83;33.08;13260;15;5.75;2
856;6600;0;67;29.92;11760;15;5.67;1
857;7200;0;65;41;11520;12;17.5;2
859;8700;0;84;30.25;23500;16;1.08;4
860;12300;0;78;29.75;26000;17;2.17;4
861;6300;0;80;61.67;12240;12;38.33;3
867;6000;0;85;58.08;12780;8;36.5;3
868;6000;0;94;31.25;14220;12;4;1
870;9000;0;91;33.75;24250;16;3.67;4
872;8796;0;76;32.67;19500;16;5.08;4
874;7800;0;86;30.92;21060;16;1.67;1
875;6000;0;94;30.42;18060;15;3.33;1
878;6300;0;89;31.42;12600;15;1.83;1
880;5700;0;95;29.33;9300;12;3.83;2
882;5640;0;92;34.25;9660;12;10.83;1
883;6600;0;77;27.08;12300;15;3.42;1
887;10500;0;94;39.67;29500;18;4.67;4
892;7800;0;81;33.33;20220;15;3.67;1
894;15000;0;88;56.67;26000;21;22;5
896;8496;0;93;29.75;18400;16;2.92;4
897;6300;0;65;63.92;9780;15;28.17;1
898;6300;0;69;59.42;11400;8;14.5;3
901;8100;0;66;30.75;13980;16;4.58;1
903;5700;0;96;32.33;12480;15;4.5;1
905;12792;0;69;28.83;26000;19;6.17;4
907;10992;0;80;45.67;20850;19;18.42;5
908;6000;0;82;30.25;10140;12;2.67;1
909;6600;0;66;30;16140;15;6.67;1
911;6300;0;91;30.33;15960;14;4.92;2
917;5400;0;94;63;10020;12;37;1
920;14496;0;78;39.42;20580;18;12.42;5
927;6000;0;87;39.33;10320;12;11.92;1
928;12996;0;77;48.33;20000;16;22;5
930;14004;0;91;34.33;38800;19;5.67;5
931;5700;0;96;29.67;14460;12;6.92;2
932;12792;0;79;29.17;26750;18;2.5;1
933;6300;0;74;63.5;12780;8;34;3
934;6600;0;90;32.83;15120;14;5;2
938;11496;0;92;31.33;29000;19;0.83;4
939;6300;0;79;54.17;12000;12;25.67;3
946;7200;0;77;30.92;13800;15;5.25;1
950;21000;0;83;49.92;26700;16;21.5;7
951;12500;0;65;28.83;36250;19;1.5;5
958;6300;0;78;59.83;14100;12;32.25;3
959;6300;0;77;29.75;10500;15;3.17;1
960;8592;0;93;30.25;18100;16;3;4
961;6300;0;66;28.67;12108;12;6.67;2
962;5700;0;95;30.83;11700;8;4.17;1
965;8700;0;79;29.58;33500;16;1;4
966;5700;0;97;31.75;18400;15;4;1
968;6300;0;76;27.58;17364;15;1;2
973;18000;0;96;39.67;44250;19;10;7
974;6420;0;66;60.67;10500;8;22;1
975;6000;0;76;57.42;8820;12;32.08;1
977;9300;0;86;32.25;18250;16;5;4
979;6000;0;96;32.17;16800;15;5.67;2
982;7800;0;65;29.42;17460;16;1.58;4
983;6300;0;91;31.75;10980;15;4;2
984;6000;0;78;30.42;10380;14;4.42;1
985;5700;0;78;28.67;10020;15;2;1
990;6000;0;88;46.25;12360;12;21;1
993;14700;0;80;42.58;24750;19;16.58;5
996;13992;0;75;35.42;25000;18;6.17;5
997;8400;0;98;38.5;18000;15;11.5;1
998;15996;0;96;44.92;36800;19;14.58;5
999;5400;0;95;56;12300;12;25.58;3
1001;8496;0;74;29.58;18900;16;3.75;5
1003;10500;0;87;39.67;16920;16;10.5;4
1005;11004;0;97;37.08;41500;16;5.83;5
1007;6300;0;70;29.08;11940;15;4;2
1009;6600;0;79;30.67;13560;12;7.83;2
1014;5100;0;78;25.58;10680;12;2.08;1
1017;6900;0;75;34.67;10920;15;11;1
1019;6000;0;83;50.25;13500;12;23.67;3
1020;5700;0;97;31.75;16920;12;8.58;1
1021;6600;0;69;34.17;12060;14;9.17;1
1022;8400;0;79;28.5;22600;16;1;4
1025;6000;0;87;64.25;12300;8;37.58;3
1026;14016;0;67;36.92;28000;19;6.25;5
1027;10992;0;92;32.25;27500;19;0.67;4
1029;6900;0;89;40.08;10920;12;14.58;1
1033;6000;0;94;33.42;10800;12;10;2
1035;6300;0;78;61.75;9600;8;39.67;1
1037;10000;0;93;33.42;22620;16;2.83;5
1040;5400;0;94;32;10740;15;0.42;1
1041;8496;0;77;29.67;17950;16;1.83;1
1044;6300;0;70;28.42;10140;15;4.67;2
1045;6240;0;85;55.58;10500;8;14.25;1
1046;8100;0;93;31.75;16440;15;2.25;1
1047;5400;0;91;27.58;12660;15;1.5;1
1048;6300;0;67;32.08;13560;15;8;1
1065;17004;0;65;34.5;30000;19;4.5;6
1067;5700;0;65;25.58;12660;15;0.83;2
1070;5400;0;98;35.17;12840;15;5.58;1
1071;6300;0;63;27.25;15660;15;3.83;2
1075;13992;0;93;46;33000;17;17.25;7
1082;11796;0;91;31.67;36500;19;1.92;4
1084;6000;0;78;29.92;10740;12;4;1
1088;6000;0;66;29.58;12960;15;5.33;1
1089;12000;0;96;32.08;32500;17;1.5;4
1093;6600;0;73;30.17;14280;12;6;1
1094;7500;0;98;37.17;14400;15;9.5;1
1097;11496;0;65;28.42;24750;19;2.17;5
1101;12600;0;81;31.17;30000;19;1.08;4
1103;6300;0;82;30.08;11940;12;7.08;2
1109;5640;0;90;32.25;13380;15;7.08;1
1111;6600;0;67;30.75;10860;15;6.5;2
1112;6300;0;89;34.83;10800;15;7.25;1
1114;6600;0;90;31.67;12120;15;1.33;1
1117;12996;0;69;34.92;26750;19;6.75;6
1120;6000;0;86;29;12360;15;2.08;1
1123;6900;0;83;34.75;10920;15;7.58;1
1124;6300;0;94;30.42;13560;15;6.5;2
1126;4620;0;80;24.92;8520;8;2;1
627;5100;1;95;53.33;8940;15;13.75;1
631;4800;1;98;64.5;8580;12;31.75;1
644;4500;1;80;24.5;7860;12;0.42;2
645;4500;1;65;23;8700;12;0;2
646;5280;1;98;46.42;8760;8;15.83;1
648;4800;1;81;24.75;10980;8;0.75;2
651;5400;1;69;25.75;9660;15;0.58;2
662;4980;1;69;24.08;9780;12;1;2
663;6900;1;85;32;14280;16;1.58;2
664;5280;1;88;62.08;8040;8;7.5;1
666;4500;1;80;24.33;8940;12;0.42;2
667;4800;1;77;42.08;9000;12;5.25;1
673;4800;1;76;40.17;8820;12;0.5;1
674;7500;1;84;59.83;13800;12;17.33;1
675;4800;1;69;23.25;8640;12;0;2
680;4980;1;69;24.17;11160;12;0;2
682;4500;1;66;23.58;8160;12;0;2
684;5100;1;63;56.67;8580;12;11.58;2
686;7200;1;93;29.67;21600;16;0.92;1
691;4200;1;93;25.83;10560;12;0;2
698;4500;1;81;24.83;9060;12;0;2
700;6600;1;95;55.25;12000;12;19;1
701;6600;1;73;24.92;8880;12;0.58;2
710;6600;1;86;28.33;11760;15;2;2
711;5400;1;86;27.42;13320;15;2;1
713;7800;1;93;60.75;13560;15;16;1
714;4980;1;69;23.25;11640;8;1.42;2
716;4500;1;81;24.75;10920;12;0.42;2
718;5520;1;82;46.5;9600;12;8.08;1
720;4620;1;93;28.08;9660;15;0;2
721;5400;1;88;28.17;8940;12;2.17;1
723;4490;1;81;24.17;11100;12;0.42;1
724;4500;1;80;25;9360;12;1.5;2
728;5700;1;76;55.58;9000;12;7.5;1
729;4500;1;69;23.42;9060;12;0.17;2
731;6600;1;85;31.5;11400;12;5.75;1
732;7500;1;68;51.92;10080;8;28.67;1
737;7992;1;84;43.33;14400;12;20;1
738;7500;1;81;32.92;21750;16;6.75;4
741;3900;1;98;27.25;8760;12;0;1
742;5400;1;64;45.5;9360;12;16.5;2
743;7500;1;90;61.67;12600;12;17.08;2
746;4380;1;80;25.08;9720;12;0.67;2
748;4080;1;70;63.83;6300;8;22.92;1
749;4080;1;81;57.83;6960;8;32.5;1
750;4620;1;93;26.83;11700;15;0.92;2
753;4500;1;69;23.75;8340;12;0;2
754;3900;1;92;55.5;6480;8;0;1
758;9996;1;89;52.5;16620;16;23.75;5
762;4500;1;80;25.08;11400;12;0.33;2
763;6600;1;84;61.33;11640;8;2.92;1
770;4800;1;75;51.58;9780;12;12;1
772;6120;1;78;52;9360;12;17.42;1
774;4560;1;93;25.58;11040;12;0.5;2
780;5340;1;88;27.67;14220;15;2.67;2
781;4500;1;92;26.25;8040;12;2;2
784;5220;1;70;55.92;7860;8;8.5;1
788;5100;1;66;46.17;9660;8;8;1
790;4620;1;74;24;10440;12;0.17;2
793;5700;1;90;29.25;12660;12;4;1
796;7800;1;82;58.75;11100;15;22.08;2
800;4080;1;82;51.42;8940;8;4;1
803;4800;1;76;26.25;10200;15;0.58;2
809;5100;1;65;24.83;9000;12;2;2
810;4380;1;92;25.42;9600;8;0.5;1
813;5580;1;73;25.58;9180;15;1.83;2
814;5700;1;77;30.25;10260;12;5.33;1
815;4920;1;69;23.33;9180;12;0.42;1
818;7800;1;64;26.83;13140;16;1.67;2
824;5400;1;66;44.5;9540;15;10.17;1
826;4080;1;72;61.5;7080;8;15.33;1
828;4200;1;93;25.92;9180;12;0.83;2
831;4080;1;85;55.08;6840;12;6;1
832;4080;1;74;55.25;6360;8;3.58;1
834;4380;1;92;25.42;10380;12;0;1
835;5400;1;65;50.25;8640;8;14.42;1
845;7200;1;81;26.58;16320;12;0.33;1
847;4500;1;77;24.67;8520;12;0;2
848;5400;1;66;25.17;11880;12;2.17;1
849;4500;1;96;30.5;12540;8;4.33;1
851;5400;1;70;52.33;8400;12;6.83;1
852;5760;1;91;33.5;10080;12;6.92;1
853;5520;1;67;57.83;8880;12;16.33;1
858;5640;1;90;30.67;10080;12;4.58;1
862;4800;1;73;49.17;9240;12;19;1
863;7200;1;75;29.25;13200;16;2.17;2
864;5400;1;66;64.25;8640;8;19;1
865;4500;1;80;24.83;7980;12;0.67;1
866;12000;1;73;31.92;22700;16;1.25;5
869;4080;1;82;60;6480;12;0;1
871;4380;1;81;24.5;9240;12;0;2
873;6000;1;76;27.25;11664;12;1.83;2
876;4500;1;80;24.33;9360;12;0;2
877;5100;1;82;27;8760;15;0;1
879;4980;1;69;23.67;12240;12;0.42;2
885;4380;1;81;24.33;9000;8;0.42;2
886;4080;1;76;59.08;6720;8;6.33;1
888;4500;1;69;23.42;8160;12;0;2
902;4260;1;74;51.17;9480;8;23.42;1
904;5400;1;77;27.08;11940;12;3.17;1
906;4620;1;97;53.92;10500;12;4;1
912;4620;1;81;24.58;10680;12;1.5;2
913;5100;1;73;55.58;11640;17;31.25;2
915;5400;1;72;49.08;9420;15;4.08;1
916;6300;1;66;32.83;9780;12;7.25;1
919;4500;1;81;25.08;9960;12;0;2
924;4380;1;81;25.25;7860;12;0.92;2
929;6900;1;80;30.17;13800;16;0.25;2
937;7200;1;71;30.08;14640;16;1;2
941;4380;1;81;24.92;8820;12;0.75;2
942;6996;1;79;28.42;17200;16;1.67;4
943;6300;1;90;29.92;15120;16;0.58;4
945;3900;1;86;52;8760;12;13;1
947;5160;1;87;26.67;10680;12;1.5;1
949;4080;1;72;52.17;7980;12;4.67;1
953;4620;1;91;63.25;8400;12;9;1
954;5100;1;98;47.58;11160;15;9.58;1
955;4800;1;81;24.58;10200;12;0.92;2
957;7200;1;71;27.5;23250;16;0.92;6
963;5580;1;88;27.33;11400;12;2.83;1
969;4080;1;68;62.33;6480;12;15;1
970;4440;1;67;27.08;12540;15;3.92;2
980;6300;1;82;29.17;9300;16;0.33;2
981;4860;1;77;24.33;13800;12;0.33;2
987;5820;1;93;31.5;13920;16;0.67;1
988;4800;1;79;50.17;8340;8;5.83;1
989;5400;1;98;47.33;9600;12;20.33;1
991;4020;1;92;44;9840;12;3.67;1
994;5100;1;81;27.17;11280;15;1.58;2
995;3900;1;86;62;7260;12;6;1
1000;4980;1;74;59.83;8700;8;26.5;1
1004;6120;1;72;25.75;11760;12;2.5;2
1011;4500;1;83;25.83;9600;12;1.33;2
1012;5700;1;63;25.08;11760;12;0.75;2
1015;5400;1;78;27.17;9840;12;3.92;2
1023;6000;1;97;30.58;15540;16;1.42;1
1028;5400;1;94;29.5;10560;15;0.25;2
1030;7800;1;65;30.75;13764;16;6.58;4
1031;5280;1;88;54.42;9780;12;8.92;1
1032;6900;1;86;32;18750;16;1.58;4
1034;4200;1;90;58;7500;15;4.5;1
1036;5700;1;65;59.5;8280;15;20.08;1
1039;7200;1;75;28.75;14820;15;0.42;2
1042;6300;1;73;54.08;15060;12;11;1
1043;4800;1;79;24.33;9780;12;0.67;2
1050;4200;1;92;25.5;11400;12;0.5;2
1051;7992;1;64;29;22300;16;3;4
1054;4380;1;79;24.67;9900;12;0.42;2
1056;5400;1;90;28.75;13020;15;1.83;2
1058;7200;1;93;32.5;20400;16;1.83;1
1059;4500;1;68;23.42;9120;12;0.17;2
1062;6000;1;90;44.5;13320;12;0.25;2
1063;6600;1;90;30.42;15420;16;0;2
1064;5100;1;69;24.42;9540;12;1.67;2
1066;4080;1;83;59.08;7920;8;6.25;1
1069;4800;1;87;53.92;8340;12;13.58;1
1076;4380;1;80;25;7260;12;0;2
1078;5400;1;67;51.5;8340;12;15.08;2
1081;7800;1;68;27.58;17400;16;0.92;4
1083;4080;1;84;62.42;6600;12;24;1
1085;6600;1;98;43.92;12120;16;11.92;2
1086;4800;1;82;28.17;13560;12;0.92;1
1087;5700;1;82;30.17;10260;15;4.25;1
1090;7200;1;78;28.5;13020;15;0.5;2
1091;5400;1;73;27.33;11160;12;2.67;2
1092;4380;1;93;25.25;9720;12;0.42;1
1099;5580;1;72;27.33;11520;12;1.5;2
1100;4380;1;89;25.83;10500;12;0;1
1102;4500;1;69;23.67;9120;12;0;2
1107;3900;1;88;62.5;6660;8;34.33;1
1108;4500;1;69;23.67;8280;12;0.17;2
1110;5580;1;64;29.08;10080;15;4.75;2
1125;4800;1;73;60.5;8460;8;13.25;2
1127;4080;1;72;56.92;6780;8;26.58;1
1128;4080;1;82;53.92;6900;12;29.83;1
1129;4500;1;81;24.08;9240;12;1.08;2
626;5400;0;88;29.92;10680;12;3.17;1
629;5400;0;96;39.5;11640;12;9.42;1
634;6996;0;67;41.67;13320;16;10;1
636;5100;0;84;44.58;7860;12;15;1
638;6420;0;67;51.42;10500;8;8.08;1
640;4800;0;98;27.83;11340;8;2.17;2
643;6600;0;66;30.75;11220;15;7;1
654;5100;0;97;53.08;8700;12;26.25;1
661;5760;0;86;28.67;10200;12;3.08;2
668;6600;0;83;44.67;12240;15;18;1
676;6300;0;79;48.5;13800;8;20.5;3
678;6000;0;92;60.67;12300;8;36;3
679;6000;0;82;59.75;9000;15;30.92;1
687;6300;0;68;32.92;12120;8;12.92;3
689;7200;0;70;47.33;10800;17;16;1
693;6300;0;76;35.25;11820;8;12;3
694;6000;0;86;29.33;10620;12;3.17;1
703;5700;0;94;32.67;11220;15;3;1
725;6000;0;78;33.83;10620;16;8.75;2
727;6000;0;87;31;14100;15;4.5;1
730;6000;0;90;37.5;10980;12;14.42;2
747;6000;0;91;30.33;12180;12;4.08;1
752;6000;0;77;33.5;11100;15;4.33;1
773;7800;0;92;40.58;16080;17;14;1
775;6000;0;83;43.42;11580;15;9;1
776;6000;0;80;57.17;8940;12;22.67;1
789;6300;0;67;29.33;12780;15;4.83;2
792;6000;0;87;30.33;10680;15;4.67;1
794;4620;0;77;24.42;11100;12;1;1
799;6300;0;64;29.67;10500;12;5.75;1
807;5220;0;85;28.67;10080;12;2.42;1
811;13500;0;74;48.25;23760;12;22.67;5
820;6300;0;70;34.58;9600;12;10;1
840;6600;0;83;28.33;15360;15;5.33;1
846;6300;0;73;38.67;12480;12;12.92;3
889;6300;0;76;28.33;10680;12;1.5;2
890;4560;0;81;24.75;10200;12;0.75;2
891;6000;0;96;31.92;12540;15;4.08;2
899;5400;0;78;25.42;12600;12;0.58;1
910;11496;0;70;32.08;31400;17;5.58;4
914;7200;0;91;41.92;11340;15;12.58;1
922;6000;0;94;34.58;12360;12;8.5;2
925;9300;0;88;42.58;17580;18;15.17;1
926;3600;0;91;53.5;12300;12;26.17;3
948;17640;0;66;35.33;40000;16;10.67;5
967;6000;0;78;54.92;8940;8;26.67;1
972;6000;0;91;45.5;12300;12;20;3
978;8220;0;66;32.08;19600;15;7.17;1
1002;7200;0;72;39.83;14280;16;11.5;1
1006;6300;0;67;47.25;12000;8;25.42;3
1013;6300;0;78;55.33;14100;12;23.42;3
1016;5400;0;86;63.75;10680;12;30.58;1
1018;5400;0;88;57.5;9480;15;29.92;1
1038;6000;0;79;30.33;11160;14;3.92;2
1049;6000;0;90;42.17;9720;15;15.92;3
1052;5700;0;98;33.67;11100;15;2.83;2
1061;6000;0;92;37.83;12000;8;12;3
1073;6000;0;83;48.83;12300;8;25.17;3
1077;3900;0;94;29.17;9000;8;3;2
1079;6000;0;90;43.67;12300;12;17.42;3
1080;6000;0;96;33.5;14400;16;3.83;1
1105;13992;0;67;38;26500;19;8.25;6
1106;6300;0;64;27.67;10560;15;2.67;1
1116;6300;0;68;30.5;12780;15;5.83;1
639;4800;1;84;27.5;9900;12;3.42;1
642;5700;1;88;34.17;10620;15;5.08;1
647;4080;1;72;46.5;6960;12;9.67;1
665;4080;1;72;45.92;8580;8;16.17;1
677;5400;1;78;48.67;10320;15;4.25;1
681;4500;1;69;24;8520;12;0.25;2
688;4440;1;97;28.42;9600;15;6.25;1
695;5700;1;93;46.58;9900;12;16.08;1
699;6300;1;84;55.17;10860;15;19.25;1
705;5220;1;87;26.33;10620;12;0.92;2
733;6000;1;69;40.67;9720;12;10.08;1
744;5100;1;85;33.83;9600;12;4.92;1
755;4800;1;87;29.08;11100;12;0.92;1
795;6720;1;98;44.83;14040;15;11.42;1
798;3900;1;90;48;7860;12;19.08;1
825;4080;1;66;60.5;6540;12;13.58;1
893;5100;1;87;42.33;10020;16;10.25;1
895;4800;1;72;32.67;9900;12;5.67;2
900;5700;1;74;45.17;9780;12;9.75;1
921;3600;1;97;60.67;6780;12;10.33;1
935;4080;1;72;51.5;6780;12;22.58;1
936;5400;1;72;50.33;10440;12;14.08;1
940;4080;1;81;51.5;6840;8;0;1
952;4500;1;93;26.92;9180;12;0;2
956;5100;1;84;38.17;10560;12;3;1
971;4800;1;84;47.58;9240;16;17.83;1
976;6000;1;86;40.5;11940;15;6.58;1
992;4380;1;83;25.5;8160;12;0.75;1
1010;3600;1;97;51.58;8460;15;14.25;1
1053;4380;1;93;26.08;10020;8;0.67;1
1068;4380;1;92;25.5;8820;12;0.42;2
1072;4500;1;73;47.92;8220;12;12.83;2
1095;5580;1;69;50;7860;12;11.08;1
1096;3600;1;96;60.5;7680;15;1.92;1
1098;4080;1;85;54.17;10980;12;8.42;1
1104;4620;1;96;32.08;9420;12;4.33;1
1118;4380;1;75;27.58;9780;12;2.67;2
1119;4440;1;83;25.25;7680;12;0.58;2
1121;4080;1;85;51;7380;12;19;1
1122;5220;1;70;39;8340;12;10.58;1
